NAW	NAW-3043	02 SERVIZI PARTNER ONLINE NESSUN BROWSER DI SISTEMA INSTALLATO
NAW	NAW-3044	01 SERVIZI BUONI SHOPPING FONTE SENZA NOME
NAW	NAW-3045	02 SERVIZI GIFTCARD FONTE SENZA NOME
NAW	NAW-3046	03 SERVIZI VOUCHER WELFARE FONTE SENZA NOME
NAW	NAW-3047	NRT SERVIZI BUONI ACQUISTO DOPPIA RICHIESTA OTP
NAW	NAW-3049	01 WELFARE STORIES DETTAGLIO STORY
NAW	NAW-3050	02 WELFARE STORIES DETTAGLIO STORY LONG TAP
NAW	NAW-3051	03 WELFARE STORIES DETTAGLIO STORY TAP A SINISTRA
NAW	NAW-3052	04 WELFARE STORIES DETTAGLIO STORY TAP A DESTRA
NAW	NAW-3053	05 WELFARE STORIES DETTAGLIO STORY SWIPE DESTRA
NAW	NAW-3054	06 WELFARE STORIES DETTAGLIO STORY SWIPE SINISTRA
NAW	NAW-3055	07 WELFARE STORIES DETTAGLIO STORY CTA ES "SCOPRI DI PIU"
NAW	NAW-3056	08 WELFARE STORIES DETTAGLIO STORY LOADING BAR
NAW	NAW-3057	09 WELFARE STORIES DETTAGLIO STORY ICONE LOADING BAR ICONA "X"
NAW	NAW-3058	10 WELFARE STORIES DETTAGLIO STORY ICONE LOADING BAR ICONA "PAUSE PLAY"
NAW	NAW-3059	11 WELFARE STORIES DETTAGLIO STORY ICONE LOADING BAR ICONA "AUDIO ATTIVO NON ATTIVO"
NAW	NAW-3060	12 WELFARE STORIES DETTAGLIO STORY ICONE LOADING BAR ICONA "AUDIO" NON PRESENTE
NAW	NAW-3073	01 POPUP CONSENSI TRACCIAMENTI
NAW	NAW-3074	02 POPUP CONSENSI TRACCIAMENTI LOGIN SUCCESSIVI
NAW	NAW-3075	LOGIN APP NAW CERTIFICATO DI PRIMO LIVELLO MULESOFT BUILD CON CERTIFICATO DI PRIMO LIVELLO RINNOVATO E PINNING AL SECONDO
NAW	NAW-3076	LOGIN APP NAW CERTIFICATO DI PRIMO LIVELLO MULESOFT BUILD CON CERTIFICATO DI PRIMO LIVELLO VECCHIO SENZA PINNING AL SECONDO
NAW	NAW-3079	01 ELENCO MOVIMENTI PERIODO
NAW	NAW-3080	02 ELENCO MOVIMENTI FILTRI
NAW	NAW-3083	01 BUONI ACQUISTO BUONI SHOPPING CANALE DI ACQUISTO BUONI
NAW	NAW-3085	01 WELFARE STORIES DETTAGLIO "STORIE" CARICAMENTO IMMAGINI
NAW	NAW-3086	02 WELFARE STORIES DETTAGLIO "STORIE" CARICAMENTO IMMAGINI CON AUDIO
NAW	NAW-3087	03 WELFARE STORIES DETTAGLIO "STORIE" CARICAMENTO VIDEO
NAW	NAW-3088	04 WELFARE STORIES DETTAGLIO "STORIE" CARICAMENTO VIDEO CON AUDIO
NAW	NAW-3093	01 PDR MODIFICA SCELTA PREMIO DATA SCADENZA BENEFIT < DATA CONSOLIDAMENTO
NAW	NAW-3095	01 WELFARE STORIES LINK INTERNI A CONTENTFUL CTA WELFARE STORIES NAW HOME PAGE
NAW	NAW-3096	02 WELFARE STORIES LINK INTERNI A CONTENTFUL CTA WELFARE STORIES NAW DETTAGLIO CREDITO
NAW	NAW-3097	03 WELFARE STORIES LINK INTERNI A CONTENTFUL CTA WELFARE STORIES NAW GESTIONE PDR*
NAW	NAW-3098	04 WELFARE STORIES LINK INTERNI A CONTENTFUL CTA WELFARE STORIES NAW SERVIZI WELFARE
NAW	NAW-3099	05 WELFARE STORIES LINK INTERNI A CONTENTFUL CTA WELFARE STORIES NAW SERVIZI WELFARE PARTNER ONLINE*
NAW	NAW-3100	06 WELFARE STORIES LINK INTERNI A CONTENTFUL CTA WELFARE STORIES NAW SERVIZI WELFARE BUONI ACQUISTO*
NAW	NAW-3101	07 WELFARE STORIES LINK INTERNI A CONTENTFUL CTA WELFARE STORIES NAW SERVIZI WELFARE VIAGGI*
NAW	NAW-3102	08 WELFARE STORIES LINK INTERNI A CONTENTFUL CTA WELFARE STORIES NAW SERVIZI WELFARE SPORT E BENESSERE*
NAW	NAW-3103	09 WELFARE STORIES LINK INTERNI A CONTENTFUL CTA WELFARE STORIES NAW SERVIZI WELFARE ISTRUZIONE E FORMAZIONE*
NAW	NAW-3104	10 WELFARE STORIES LINK INTERNI A CONTENTFUL CTA WELFARE STORIES NAW SERVIZI WELFARE CULTURA E TEMPO LIBERO*
NAW	NAW-3105	11 WELFARE STORIES LINK INTERNI A CONTENTFUL CTA WELFARE STORIES NAW SERVIZI WELFARE SANITA*
